,Date,Registration_total,Registration_18_45,Registration_45_above,Registration_today,Reg_time_00:00-01:00,Reg_time_00:00-01:00_total,Reg_time_00:00-01:00_age18,Reg_time_00:00-01:00_age45,Reg_time_00:00-01:00_age60,Reg_time_00:00-01:00_male,Reg_time_00:00-01:00_female,Reg_time_00:00-01:00_others,Reg_time_01:00-02:00,Reg_time_01:00-02:00_total,Reg_time_01:00-02:00_age18,Reg_time_01:00-02:00_age45,Reg_time_01:00-02:00_age60,Reg_time_01:00-02:00_male,Reg_time_01:00-02:00_female,Reg_time_01:00-02:00_others,Reg_time_02:00-03:00,Reg_time_02:00-03:00_total,Reg_time_02:00-03:00_age18,Reg_time_02:00-03:00_age45,Reg_time_02:00-03:00_age60,Reg_time_02:00-03:00_male,Reg_time_02:00-03:00_female,Reg_time_02:00-03:00_others,Reg_time_03:00-04:00,Reg_time_03:00-04:00_total,Reg_time_03:00-04:00_age18,Reg_time_03:00-04:00_age45,Reg_time_03:00-04:00_age60,Reg_time_03:00-04:00_male,Reg_time_03:00-04:00_female,Reg_time_03:00-04:00_others,Reg_time_04:00-05:00,Reg_time_04:00-05:00_total,Reg_time_04:00-05:00_age18,Reg_time_04:00-05:00_age45,Reg_time_04:00-05:00_age60,Reg_time_04:00-05:00_male,Reg_time_04:00-05:00_female,Reg_time_04:00-05:00_others,Reg_time_05:00-06:00,Reg_time_05:00-06:00_total,Reg_time_05:00-06:00_age18,Reg_time_05:00-06:00_age45,Reg_time_05:00-06:00_age60,Reg_time_05:00-06:00_male,Reg_time_05:00-06:00_female,Reg_time_05:00-06:00_others,Reg_time_06:00-07:00,Reg_time_06:00-07:00_total,Reg_time_06:00-07:00_age18,Reg_time_06:00-07:00_age45,Reg_time_06:00-07:00_age60,Reg_time_06:00-07:00_male,Reg_time_06:00-07:00_female,Reg_time_06:00-07:00_others,Reg_time_07:00-08:00,Reg_time_07:00-08:00_total,Reg_time_07:00-08:00_age18,Reg_time_07:00-08:00_age45,Reg_time_07:00-08:00_age60,Reg_time_07:00-08:00_male,Reg_time_07:00-08:00_female,Reg_time_07:00-08:00_others,Reg_time_08:00-09:00,Reg_time_08:00-09:00_total,Reg_time_08:00-09:00_age18,Reg_time_08:00-09:00_age45,Reg_time_08:00-09:00_age60,Reg_time_08:00-09:00_male,Reg_time_08:00-09:00_female,Reg_time_08:00-09:00_others,Reg_time_09:00-10:00,Reg_time_09:00-10:00_total,Reg_time_09:00-10:00_age18,Reg_time_09:00-10:00_age45,Reg_time_09:00-10:00_age60,Reg_time_09:00-10:00_male,Reg_time_09:00-10:00_female,Reg_time_09:00-10:00_others,Reg_time_10:00-11:00,Reg_time_10:00-11:00_total,Reg_time_10:00-11:00_age18,Reg_time_10:00-11:00_age45,Reg_time_10:00-11:00_age60,Reg_time_10:00-11:00_male,Reg_time_10:00-11:00_female,Reg_time_10:00-11:00_others,Reg_time_11:00-12:00,Reg_time_11:00-12:00_total,Reg_time_11:00-12:00_age18,Reg_time_11:00-12:00_age45,Reg_time_11:00-12:00_age60,Reg_time_11:00-12:00_male,Reg_time_11:00-12:00_female,Reg_time_11:00-12:00_others,Reg_time_12:00-13:00,Reg_time_12:00-13:00_total,Reg_time_12:00-13:00_age18,Reg_time_12:00-13:00_age45,Reg_time_12:00-13:00_age60,Reg_time_12:00-13:00_male,Reg_time_12:00-13:00_female,Reg_time_12:00-13:00_others,Reg_time_13:00-14:00,Reg_time_13:00-14:00_total,Reg_time_13:00-14:00_age18,Reg_time_13:00-14:00_age45,Reg_time_13:00-14:00_age60,Reg_time_13:00-14:00_male,Reg_time_13:00-14:00_female,Reg_time_13:00-14:00_others,Reg_time_14:00-15:00,Reg_time_14:00-15:00_total,Reg_time_14:00-15:00_age18,Reg_time_14:00-15:00_age45,Reg_time_14:00-15:00_age60,Reg_time_14:00-15:00_male,Reg_time_14:00-15:00_female,Reg_time_14:00-15:00_others,Reg_time_15:00-16:00,Reg_time_15:00-16:00_total,Reg_time_15:00-16:00_age18,Reg_time_15:00-16:00_age45,Reg_time_15:00-16:00_age60,Reg_time_15:00-16:00_male,Reg_time_15:00-16:00_female,Reg_time_15:00-16:00_others,Reg_time_16:00-17:00,Reg_time_16:00-17:00_total,Reg_time_16:00-17:00_age18,Reg_time_16:00-17:00_age45,Reg_time_16:00-17:00_age60,Reg_time_16:00-17:00_male,Reg_time_16:00-17:00_female,Reg_time_16:00-17:00_others,Reg_time_17:00-18:00,Reg_time_17:00-18:00_total,Reg_time_17:00-18:00_age18,Reg_time_17:00-18:00_age45,Reg_time_17:00-18:00_age60,Reg_time_17:00-18:00_male,Reg_time_17:00-18:00_female,Reg_time_17:00-18:00_others,Reg_time_18:00-19:00,Reg_time_18:00-19:00_total,Reg_time_18:00-19:00_age18,Reg_time_18:00-19:00_age45,Reg_time_18:00-19:00_age60,Reg_time_18:00-19:00_male,Reg_time_18:00-19:00_female,Reg_time_18:00-19:00_others,Reg_time_19:00-20:00,Reg_time_19:00-20:00_total,Reg_time_19:00-20:00_age18,Reg_time_19:00-20:00_age45,Reg_time_19:00-20:00_age60,Reg_time_19:00-20:00_male,Reg_time_19:00-20:00_female,Reg_time_19:00-20:00_others,Reg_time_20:00-21:00,Reg_time_20:00-21:00_total,Reg_time_20:00-21:00_age18,Reg_time_20:00-21:00_age45,Reg_time_20:00-21:00_age60,Reg_time_20:00-21:00_male,Reg_time_20:00-21:00_female,Reg_time_20:00-21:00_others,Reg_time_21:00-22:00,Reg_time_21:00-22:00_total,Reg_time_21:00-22:00_age18,Reg_time_21:00-22:00_age45,Reg_time_21:00-22:00_age60,Reg_time_21:00-22:00_male,Reg_time_21:00-22:00_female,Reg_time_21:00-22:00_others,Reg_time_22:00-23:00,Reg_time_22:00-23:00_total,Reg_time_22:00-23:00_age18,Reg_time_22:00-23:00_age45,Reg_time_22:00-23:00_age60,Reg_time_22:00-23:00_male,Reg_time_22:00-23:00_female,Reg_time_22:00-23:00_others
0,2021-05-04,177951424,51774505,126176919,3157817,00:00-01:00,24157,20799,2328,1030,14225,9921,11,01:00-02:00,10005,8786,857,362,6349,3651,5,02:00-03:00,4860,4222,443,195,3194,1663,3,03:00-04:00,3061,2644,286,131,2083,975,3,04:00-05:00,3272,2741,348,183,2194,1078,0,05:00-06:00,6113,4957,811,345,3994,2115,4,06:00-07:00,22379,17865,3155,1359,13907,8459,13,07:00-08:00,63371,49659,9606,4106,37046,26296,29,08:00-09:00,113697,87831,18021,7845,65078,48560,59,09:00-10:00,173588,123928,34093,15567,99712,73824,52,10:00-11:00,258822,159039,67100,32683,147362,111360,100,11:00-12:00,322317,183019,93169,46129,181821,140397,99,12:00-13:00,308716,177960,87865,42891,173251,135360,105,13:00-14:00,244682,145273,67366,32043,137056,107551,75,14:00-15:00,169425,96286,49734,23405,95825,73539,61,15:00-16:00,205575,136561,47597,21417,117138,88366,71,16:00-17:00,185911,133913,36276,15722,106249,79592,70,17:00-18:00,182282,141013,28904,12365,103257,78952,73,18:00-19:00,174730,137503,26095,11132,98296,76373,61,19:00-20:00,204662,160685,31085,12892,114842,89739,81,20:00-21:00,176916,137774,27433,11709,99345,77500,71,21:00-22:00,184603,146385,27263,10955,103069,81450,84,22:00-23:00,114677,91978,16027,6672,63560,51063,54
1,2021-05-05,181288163,53958301,127329861,3281689,00:00-01:00,22894,19124,2573,1197,13413,9469,12,01:00-02:00,9606,8355,874,377,6019,3587,0,02:00-03:00,4422,3781,456,185,2910,1510,2,03:00-04:00,2881,2488,264,129,1952,926,3,04:00-05:00,3036,2491,388,157,2020,1013,3,05:00-06:00,5651,4565,745,341,3691,1954,6,06:00-07:00,21671,16940,3290,1441,13278,8384,9,07:00-08:00,59212,45150,9697,4365,34687,24494,31,08:00-09:00,107081,80377,18393,8311,60884,46145,52,09:00-10:00,169901,116866,35694,17341,96530,73309,62,10:00-11:00,257889,147365,72905,37619,145710,112080,99,11:00-12:00,327788,171734,102574,53480,183418,144275,95,12:00-13:00,328264,174526,102143,51595,182454,145707,103,13:00-14:00,285391,161695,83100,40596,158208,127086,97,14:00-15:00,231111,133265,66618,31227,129526,101511,73,15:00-16:00,203137,119273,57009,26855,114872,88209,56,16:00-17:00,189122,124359,44287,20476,107156,81890,76,17:00-18:00,181481,133328,32965,15188,102066,79351,64,18:00-19:00,179979,136597,29982,13400,100895,79023,61,19:00-20:00,200774,154959,32060,13755,112072,88617,85,20:00-21:00,200236,154693,32002,13541,111583,88574,79,21:00-22:00,173224,134762,27027,11435,95596,77559,69,22:00-23:00,116946,91815,17499,7632,63811,53089,46
2,2021-05-06,184811384,56176891,128634493,3466416,00:00-01:00,22943,19073,2685,1185,13133,9799,11,01:00-02:00,8987,7608,908,471,5602,3378,7,02:00-03:00,4442,3890,358,194,2943,1497,2,03:00-04:00,3167,2711,318,138,2011,1156,0,04:00-05:00,3392,2702,458,232,2160,1231,1,05:00-06:00,5992,4687,861,444,3870,2119,3,06:00-07:00,22130,16851,3656,1623,13468,8650,12,07:00-08:00,59917,45029,10230,4658,34689,25203,25,08:00-09:00,110426,81232,20030,9164,62848,47530,48,09:00-10:00,183987,118739,42968,22280,103108,80825,54,10:00-11:00,302364,158387,92005,51972,168472,133806,86,11:00-12:00,377179,183119,123395,70665,208460,168624,95,12:00-13:00,372398,188118,119246,65034,204658,167633,107,13:00-14:00,300767,163797,90410,46560,166440,134227,100,14:00-15:00,250724,142073,72309,36342,139346,111295,83,15:00-16:00,227607,133707,63320,30580,127783,99753,71,16:00-17:00,194941,129079,44553,21309,109541,85330,70,17:00-18:00,199459,145429,37182,16848,111223,88158,78,18:00-19:00,185582,140724,30754,14104,103325,82200,57,19:00-20:00,181080,138945,29218,12917,100788,80229,63,20:00-21:00,189237,146208,30436,12593,104516,84650,71,21:00-22:00,155322,120208,24670,10444,84952,70314,56,22:00-23:00,104384,80616,16454,7314,56834,47518,32
3,2021-05-07,187851699,58094664,129757035,2989269,00:00-01:00,21459,17320,2834,1305,12137,9312,10,01:00-02:00,8149,6733,921,495,4901,3247,1,02:00-03:00,4015,3260,496,259,2504,1508,3,03:00-04:00,2806,2240,372,194,1790,1015,1,04:00-05:00,2751,2129,408,214,1729,1022,0,05:00-06:00,5371,3951,924,496,3289,2078,4,06:00-07:00,18627,13819,3236,1572,11173,7447,7,07:00-08:00,50493,36868,9206,4419,28898,21569,26,08:00-09:00,92497,66726,17154,8617,51745,40711,41,09:00-10:00,155831,100442,36204,19185,87634,68159,38,10:00-11:00,254562,135237,76613,42712,141672,112821,69,11:00-12:00,326791,164194,104301,58296,181602,145087,102,12:00-13:00,336193,178624,102713,54856,185109,150968,116,13:00-14:00,266845,146764,79326,40755,147153,119606,86,14:00-15:00,217109,122863,63168,31078,120697,96330,82,15:00-16:00,172104,95154,51564,25386,96101,75953,50,16:00-17:00,181250,120150,41665,19435,101105,80069,76,17:00-18:00,180230,132444,32661,15125,100524,79636,70,18:00-19:00,138775,104026,23983,10766,77074,61662,39,19:00-20:00,166763,127996,26612,12155,91912,74798,53,20:00-21:00,162406,124754,25969,11683,89528,72819,59,21:00-22:00,134077,102785,21765,9527,73828,60200,49,22:00-23:00,90172,69060,14403,6709,49100,41040,32
4,2021-05-08,191070066,60274611,130795455,3170798,00:00-01:00,25584,21077,2922,1585,14312,11268,4,01:00-02:00,9682,8073,1059,550,5645,4034,3,02:00-03:00,4551,3847,499,205,2825,1725,1,03:00-04:00,2866,2407,317,142,1856,1009,1,04:00-05:00,2932,2384,383,165,1895,1036,1,05:00-06:00,5756,4737,668,351,3587,2165,4,06:00-07:00,21848,17653,2943,1252,12901,8930,17,07:00-08:00,64223,51032,9152,4039,36990,27205,28,08:00-09:00,111469,86921,17047,7501,62842,48573,54,09:00-10:00,177406,120919,37878,18609,98771,78567,68,10:00-11:00,250320,139090,72897,38333,138512,111717,91,11:00-12:00,273948,134085,91265,48598,149991,123885,72,12:00-13:00,271088,136225,89157,45706,147436,123571,81,13:00-14:00,248891,143240,70610,35041,135790,113010,91,14:00-15:00,227473,141124,58639,27710,124630,102761,82,15:00-16:00,193778,123472,47830,22476,107145,86564,69,16:00-17:00,180291,126186,36964,17141,100077,80141,73,17:00-18:00,186443,143714,29364,13365,103164,83203,76,18:00-19:00,196666,157311,27223,12132,110638,85958,70,19:00-20:00,223893,181448,29652,12793,125379,98432,82,20:00-21:00,211597,171097,28464,12036,118240,93282,75,21:00-22:00,171143,138279,23016,9848,95215,75855,73,22:00-23:00,108957,88211,14384,6362,60233,48667,57
5,2021-05-09,193769891,62410211,131359680,2646216,00:00-01:00,22887,19274,2455,1158,13172,9702,13,01:00-02:00,9095,7783,879,433,5489,3605,1,02:00-03:00,4581,3973,405,203,2929,1647,5,03:00-04:00,2909,2499,286,124,1934,973,2,04:00-05:00,3136,2622,341,173,2004,1132,0,05:00-06:00,6153,5185,646,322,4076,2073,4,06:00-07:00,21048,17953,2190,905,12989,8047,12,07:00-08:00,53474,44634,6278,2562,31679,21767,28,08:00-09:00,92887,76487,11516,4884,53698,39147,42,09:00-10:00,131631,102553,20257,8821,75072,56514,45,10:00-11:00,196520,147378,33993,15149,109834,86611,75,11:00-12:00,221241,159439,42239,19563,122871,98290,80,12:00-13:00,219634,161350,40210,18074,121650,97887,97,13:00-14:00,185101,139484,31610,14007,102562,82467,72,14:00-15:00,154812,119403,24558,10851,86140,68610,62,15:00-16:00,139913,108768,21711,9434,78451,61405,57,16:00-17:00,145822,116935,20064,8823,81522,64240,60,17:00-18:00,167394,137844,20635,8915,93628,73695,71,18:00-19:00,179923,149541,21079,9303,101736,78106,81,19:00-20:00,205042,169986,24493,10563,115508,89443,91,20:00-21:00,205920,170724,24921,10275,115507,90325,88,21:00-22:00,167081,137909,20729,8443,93088,73916,77,22:00-23:00,110016,89929,13868,6219,60284,49673,59
6,2021-05-10,197663279,65154469,132508810,3841130,00:00-01:00,20827,17559,2235,1033,11845,8972,10,01:00-02:00,8075,6977,763,335,4898,3172,5,02:00-03:00,3710,3208,364,138,2412,1297,1,03:00-04:00,2453,2112,233,108,1659,793,1,04:00-05:00,2783,2262,335,186,1766,1014,3,05:00-06:00,6203,5234,670,299,4025,2174,4,06:00-07:00,23835,19980,2745,1110,14726,9088,21,07:00-08:00,67502,56030,8156,3316,39417,28047,38,08:00-09:00,124859,101398,16315,7146,71700,53112,47,09:00-10:00,191007,139571,34285,17151,108401,82527,79,10:00-11:00,287721,179282,69742,38697,161821,125808,92,11:00-12:00,361871,208241,98601,55029,201239,160501,131,12:00-13:00,363711,209815,99753,54143,200913,162651,147,13:00-14:00,310569,189721,79765,41083,172021,138423,125,14:00-15:00,264659,168526,64197,31936,147659,116890,110,15:00-16:00,241607,157926,56496,27185,135784,105737,86,16:00-17:00,235082,169922,44354,20806,132193,102798,91,17:00-18:00,234323,182251,35736,16336,131049,103174,100,18:00-19:00,236975,190813,32002,14160,132580,104290,105,19:00-20:00,260052,209493,35189,15370,145905,114012,135,20:00-21:00,257230,209813,33074,14343,143376,113748,106,21:00-22:00,203123,164235,27136,11752,112334,90708,81,22:00-23:00,133064,106855,18104,8105,72486,60500,78
7,2021-05-11,201373830,67696352,133677477,3648932,00:00-01:00,24194,20186,2715,1293,13875,10312,7,01:00-02:00,8950,7735,835,380,5464,3482,4,02:00-03:00,4537,3895,436,206,2923,1612,2,03:00-04:00,3183,2658,375,150,2110,1072,1,04:00-05:00,3392,2681,490,221,2159,1232,1,05:00-06:00,7620,6190,945,485,4820,2795,5,06:00-07:00,26910,21735,3602,1573,16548,10347,15,07:00-08:00,68789,54977,9646,4166,40346,28399,44,08:00-09:00,122671,96764,17854,8053,70136,52476,59,09:00-10:00,194029,136697,38051,19281,109985,83964,80,10:00-11:00,298568,177845,77290,43433,167714,130754,100,11:00-12:00,363708,200276,104704,58728,202139,161438,131,12:00-13:00,370224,208277,104578,57369,204333,165761,130,13:00-14:00,296226,175178,79812,41236,164160,131949,117,14:00-15:00,245109,149290,64360,31459,136324,108699,86,15:00-16:00,225090,141794,56288,27008,126340,98683,67,16:00-17:00,216213,152963,43337,19913,121483,94655,75,17:00-18:00,219988,170971,33754,15263,122805,97090,93,18:00-19:00,216780,173522,30266,12992,121474,95215,91,19:00-20:00,231802,186392,31657,13752,130092,101609,100,20:00-21:00,222506,177957,31426,13123,124464,97941,101,21:00-22:00,171607,137353,24140,10114,95260,76267,80,22:00-23:00,106924,86359,14313,6252,58580,48304,40
8,2021-05-12,204508918,69777840,134731078,3078746,00:00-01:00,22318,18143,2829,1346,12637,9672,9,01:00-02:00,8309,6907,911,491,5092,3214,3,02:00-03:00,4373,3515,603,255,2776,1596,1,03:00-04:00,2712,2206,343,163,1776,934,2,04:00-05:00,3411,2611,553,247,2164,1245,2,05:00-06:00,6816,5348,987,481,4404,2410,2,06:00-07:00,23242,18477,3378,1387,14102,9118,22,07:00-08:00,57345,44969,8707,3669,33622,23692,31,08:00-09:00,102167,78468,16300,7399,58060,44052,55,09:00-10:00,160437,110186,33733,16518,91202,69166,69,10:00-11:00,248538,144102,67849,36587,139436,109009,93,11:00-12:00,308840,164143,94474,50223,171003,137720,117,12:00-13:00,302964,162385,92061,48518,167275,135583,106,13:00-14:00,248863,138764,73527,36572,138065,110709,89,14:00-15:00,211647,122216,60167,29264,117946,93616,85,15:00-16:00,193093,115923,52218,24952,107982,85051,60,16:00-17:00,195992,135635,41329,19028,110054,85862,76,17:00-18:00,167685,126305,28411,12969,93063,74560,62,18:00-19:00,184202,144931,27381,11890,102621,81498,83,19:00-20:00,194360,152738,29050,12572,108127,86156,77,20:00-21:00,189203,148670,28221,12312,105505,83607,91,21:00-22:00,147122,115137,22385,9600,81833,65225,64,22:00-23:00,95208,75307,13850,6051,52088,43071,49
9,2021-05-13,207307253,71564777,135742473,2751482,00:00-01:00,19925,15845,2678,1402,11082,8835,8,01:00-02:00,7520,6204,933,383,4464,3053,3,02:00-03:00,3256,2718,358,180,2112,1143,1,03:00-04:00,2122,1748,255,119,1381,740,1,04:00-05:00,2341,1926,278,137,1561,778,2,05:00-06:00,5058,4170,619,269,3323,1727,8,06:00-07:00,18894,15291,2536,1067,11612,7269,13,07:00-08:00,47986,38079,6964,2943,28310,19654,22,08:00-09:00,86455,66312,13922,6221,49265,37142,48,09:00-10:00,145377,97041,32349,15987,81656,63652,69,10:00-11:00,234879,127737,68809,38333,130817,103964,98,11:00-12:00,292771,146529,93940,52301,162876,129786,108,12:00-13:00,288454,146718,92324,49412,159805,128560,89,13:00-14:00,233656,125747,71153,36756,129594,103979,83,14:00-15:00,201267,111831,59985,29451,112303,88866,98,15:00-16:00,187021,109641,52482,24897,104871,82075,74,16:00-17:00,168224,110744,39474,18006,94050,74105,69,17:00-18:00,161479,120221,28310,12948,89932,71458,89,18:00-19:00,136841,105807,21447,9586,76246,60540,54,19:00-20:00,164517,129350,24483,10684,91996,72452,69,20:00-21:00,151997,118603,23666,9728,84820,67093,84,21:00-22:00,102161,78528,16593,7040,56309,45801,51,22:00-23:00,89362,68709,14374,6279,48516,40797,49
10,2021-05-14,209602587,73192022,136410564,2258069,00:00-01:00,14656,11970,1841,845,8375,6275,6,01:00-02:00,6013,4976,732,305,3617,2394,2,02:00-03:00,2824,2405,272,147,1804,1019,1,03:00-04:00,1905,1607,219,79,1268,637,0,04:00-05:00,1877,1585,209,83,1245,631,1,05:00-06:00,4937,4041,621,275,3244,1692,1,06:00-07:00,19130,15540,2507,1083,11733,7379,18,07:00-08:00,44241,35827,6035,2379,26081,18137,23,08:00-09:00,74365,59150,10625,4590,42553,31771,41,09:00-10:00,118560,89001,20251,9308,67168,51345,47,10:00-11:00,169698,110972,39200,19526,95396,74241,61,11:00-12:00,200263,119146,53873,27243,111559,88634,69,12:00-13:00,201390,122614,53073,25703,111951,89355,84,13:00-14:00,169354,107150,42477,19727,93692,75605,57,14:00-15:00,140753,90409,34335,16009,78634,62054,65,15:00-16:00,133456,86297,32391,14768,73915,59477,64,16:00-17:00,131103,95469,24560,11074,73264,57787,52,17:00-18:00,146003,111008,24226,10769,81276,64677,50,18:00-19:00,156884,120591,25152,11141,87593,69220,71,19:00-20:00,166221,129428,25796,10997,92530,73619,72,20:00-21:00,154884,121184,23577,10123,85990,68819,75,21:00-22:00,123566,97425,18605,7536,68098,55399,69,22:00-23:00,76025,60293,11077,4655,41747,34243,35
11,2021-05-15,212382543,75136611,137245930,2743548,00:00-01:00,15946,13433,1754,759,9235,6708,3,01:00-02:00,6305,5334,664,307,3848,2454,3,02:00-03:00,3056,2622,296,138,1955,1098,3,03:00-04:00,1964,1689,185,90,1366,596,2,04:00-05:00,2185,1823,243,119,1470,714,1,05:00-06:00,5415,4556,650,209,3552,1862,1,06:00-07:00,21387,17991,2474,922,12971,8402,14,07:00-08:00,53862,43675,7168,3019,31112,22709,41,08:00-09:00,95180,75863,13562,5755,53555,41584,41,09:00-10:00,151786,109435,29073,13278,84684,67055,47,10:00-11:00,230862,140651,60326,29885,126975,103810,77,11:00-12:00,277195,155569,81465,40161,151562,125545,88,12:00-13:00,271133,154850,78916,37367,148015,123011,107,13:00-14:00,219238,132124,59926,27187,120389,98763,85,14:00-15:00,187070,117760,47937,21372,102571,84425,73,15:00-16:00,177546,116553,42460,18533,98006,79479,61,16:00-17:00,181038,133673,33762,13603,100443,80530,65,17:00-18:00,184020,146439,27061,10520,101916,82023,81,18:00-19:00,185588,151058,24720,9810,103057,82454,77,19:00-20:00,193608,157205,26306,10097,108067,85435,106,20:00-21:00,166664,136698,21846,8120,93060,73532,72,21:00-22:00,55424,46368,6595,2461,30766,24623,35,22:00-23:00,57172,49396,5731,2045,31581,25568,23
